25 100
20
1 30
2 1294 1046595
3 908521 2358
2 571 908782
2 3095138 -1
2 1192 2265810
3 2658248 843
2 820 2658259
3 110215 1524
2 621 110837
3 2934511 2223
3 1000843 1397
3 2943480 2948
2 1207 2943952
3 2672459 2265
2 1011 2673086
2 2380 2935069
3 3428813 2556
3 3407660 1608
2 1948 3407490
2 2403 3429303
2 411 1001336
2 1691 4538437
3 2077328 1431
2 2645 2076721
2 2210 3939093
3 3528801 1965
2 1945 3528244
2 1242 2591170
2 1672 2593544
2 2159 122837
2 1599 126135
3 1845352 2076
2 1662 1845897
2 1898 1787834
3 2200627 1343
2 1320 2201088
2 1968 1790976
3 648940 494
2 860 648989
2 1956 147039
2 28 151207
2 1768 2524266
2 2137 874151
2 1905 4346848
2 2460 870264
3 743781 2757
2 2332 743994
2 2115 4097723
2 1512 4092735
2 2459 143147
2 2481 2128590
2 1227 4350387
2 2293 4354116
3 811069 2613
3 4527293 -1
3 3759086 1372
3 798866 2387
2 272 799923
3 979791 2360
3 3493891 2445
2 199 979972
2 59 801764
2 1671 797489
2 362 3494933
2 2701 3758422
3 4663502 2807
2 513 4664874
3 531465 679
3 1830199 1331
3 3732698 2920
3 874151 2137
3 3170131 748
2 1870 3733223
2 247 3170382
3 1506441 728
2 2337 1505636
2 2512 4662017
3 3455092 1089
2 1022 3455125
2 2911 4665532
3 1224171 1221
3 2295250 2876
2 1316 1224202
2 1398 2295989
2 1632 1830048
2 2360 530625
3 4065754 2122
3 1050719 2182
2 1565 4066137
3 4448798 1179
2 2555 811098
3 4696383 2622
2 2764 4696312
2 515 1051553
2 1624 4448576
3 3202339 2305
2 1197 3203248
2 1346 978000
3 4378326 1395
3 4089785 2454
2 1301 4089527
2 771 4377879
2 2736 -1
3 3723220 1291
2 1422 3723154
2 1904 980518
2 2350 874045
3 3429303 2403
2 2133 3429438
3 3725635 1816
2 671 3726054
2 609 2004396
3 811098 2555
3 1272381 819
2 949 1272316
2 1654 811549
2 2062 1999356
3 2966671 1981
3 2424151 1806
2 1075 2424517
2 1607 2966858
2 1215 4020558
3 3741831 2494
3 3688879 921
3 1215796 2967
3 2379375 1343
2 1062 1216748
2 2736 3687971
3 896477 1500
3 2152626 1478
3 333587 1218
3 1638400 1765
2 2608 332892
2 913 896313
2 1316 2152334
2 1815 1638816
3 3120956 2822
2 2581 3121658
2 2447 2378823
2 684 3742736
3 1963342 2668
3 3491096 2456
3 911727 1790
2 2672 3490900
2 2261 1963607
2 1299 911972
2 2409 4022678
2 389 710453
2 2307 713379
3 1328102 -1
2 884 4198387
2 2180 1590564
2 1135 1594254
2 494 2445575
3 3298244 2083
3 4408422 1838
2 746 4408968
2 2654 3297958
2 2705 4409755
2 1302 4406923
2 1307 2450038
3 2543952 1851
2 2669 2543543
2 1659 3849010
2 1071 3844305
2 482 3194752
2 992 3190170
3 2006319 2490
3 81081 2468
2 2977 81169
3 3230099 2839
2 1216 3230911
2 498 2007315
3 1604469 842
2 989 1604396
3 468713 332
2 850 3483129
2 1652 3479865
3 723226 2779
2 1257 723161
2 1618 741970
2 1105 746988
3 3808169 1673
3 867131 2508
2 414 3808786
2 300 868235
2 2376 3467315
2 1630 3472525
2 2045 1945160
3 2361360 2949
2 1206 2362069
2 1448 1941314
3 957331 -1
2 590 2784900
3 3643042 1519
2 120 3643946
2 608 2788301
2 747 1248983
3 2543543 2669
3 4206005 626
2 2885 4204875
2 2904 2543425
3 4504777 1144
2 631 4505034
2 1310 1244545
2 110 4331047
2 212 4327557
2 1 706851
3 874045 2350
3 2640738 2246
3 1100994 2814
3 4629691 931
2 776 4629636
2 2217 1100724
3 348392 2319
3 1899436 1295
3 769713 1858
2 2119 769617
3 1300550 2896
2 1345 1899572
2 530 349585
3 2931490 2728
2 2070 2932098
2 2392 2640423
3 3525418 1552
2 2732 3524373
3 4432663 1959
2 572 4433053
3 1966606 1862
2 2916 1966008
3 3645961 881
2 733 3645625
2 2148 1300924
2 1590 4434133
3 1729795 1401
2 2416 1729299
2 2367 4430566
2 457 874991
2 1731 702697
2 2379 4561156
2 1705 4558591
2 443 4716892
2 735 119928
2 1839 468712
2 19 3106478
2 131 1996000
2 1829 1990914
2 943 219121
2 1018 222144
3 2206131 2247
3 4315298 2253
2 2580 2206029
2 2322 4315263
2 244 1329162
2 1746 1332499
2 1356 2494419
3 4769668 2652
2 811 4770589
2 1359 927329
3 1785651 1871
2 2487 1784802
3 2338417 2777
3 2660348 1856
2 122 2661653
3 1157405 1232
3 2256726 2758
2 2708 2257310
2 2964 1157572
3 3959479 2773
2 222 3960262
2 2460 2338575
3 1793221 2908
2 162 1794655
2 1116 3958381
2 1918 3960847
2 6 2663059
2 51 2660340
2 939 1819483
2 1604 1822239
2 1393 4585344
3 1037061 2365
2 1743 1036998
2 1724 3238610
2 1532 3182273
2 630 2818748
2 700 4467293
2 1022 3873239
2 2073 4975054
2 1000 4979466
2 1911 130228
2 623 134103
2 91 2486516
3 2859017 750
2 2360 2858269
2 1600 2763709
3 1077390 2098
3 398373 1968
2 922 398570
2 1798 1078119
2 683 2768259
3 175717 1199
2 2262 175352
2 660 4812008
2 695 4816202
2 1187 1323838
2 1731 1325908
3 3309489 2562
2 1932 3309861
2 12 4415722
2 1379 4419293
2 1184 4885215
2 1590 4882123
2 2250 3087074
2 420 3091370
2 583 1771154
2 1956 1767650
2 2043 1004235
2 1733 4668932
2 1305 3625373
2 1996 4602738
2 147 4460314
2 919 4677744
2 1987 284107
2 170 282079
3 4403096 2192
2 857 4403764
2 2035 3069691
2 610 3066831
2 1054 937320
3 1729299 2416
3 4802778 2118
2 962 4802978
2 2431 1729291
2 1536 2669448
2 1045 1924720
2 1317 2667267
3 3744459 2931
2 1878 3745147
2 807 1920559
2 1941 1948796
2 1717 1953027
3 489562 2046
2 191 490489
2 1379 4483472
2 737 109354
2 520 112312
3 2932098 2070
3 2322617 2388
2 2983 2321673
2 1424 2932421
2 546 4480625
2 1199 4711852
3 317374 726
2 713 316992
2 1059 2945736
2 311 2942690
3 2718866 2801
2 2708 2718693
3 1111207 2361
3 4434133 1590
2 1878 1111157
2 2144 4433856
3 1182478 1456
2 1502 1182828
3 2556162 1041
3 3981489 2036
3 3889460 2963
3 345674 2241
2 2158 346312
3 2154594 2921
2 2846 2154404
2 1035 3891054
2 1886 3981564
2 1705 2555860
3 1801034 2827
2 393 1802251
2 1086 1803332
2 1321 1800359
2 1370 1067598
3 1356542 1358
3 684472 1059
3 3075798 2197
3 1279137 2642
3 3092727 573
3 1643493 2065
2 168 1357089
2 6 1644643
3 3309861 1932
2 572 3310541
2 2837 1279197
2 2246 683878
2 2391 3092408
2 1110 3076309
2 688 1355507
2 2345 1357322
2 978 3311811
2 2102 3308303
2 1117 1645201
3 1096605 1380
3 2879269 976
2 1304 2879105
2 1195 1097300
2 466 1643299
2 438 1070849
3 3797594 2145
3 3655204 2530
2 2865 3655037
2 2101 3797810
3 3283802 2135
2 2182 3283778
2 437 4308691
2 1973 4311109
2 39 4744696
2 1829 1938714
2 537 3854425
2 829 2897362
2 458 2901688
2 544 4625747
3 3518136 -1
2 1584 3766914
3 4799544 1599
2 1015 4799936
3 3230911 1216
3 1448043 1008
3 2570914 1611
2 1734 3230652
2 883 2571278
2 1256 1448059
2 2148 3764277
2 1138 3841521
2 965 756638
3 9167 2484
2 172 10323
3 1520157 2563
2 1876 1520501
2 160 759261
2 652 3839428
2 1531 4651378
2 338 4655583
2 1382 4575691
3 451730 2726
2 976 452605
3 2318642 -1
3 805132 1922
3 862975 509
2 886 805282
2 1206 862395
3 2858269 2360
2 1556 2858671
2 1827 3520633
2 1521 1347491
2 1305 1350077
2 1856 2102496
2 802 2100440
3 288135 2620
3 3144151 1196
2 273 289308
3 2228077 959
3 126135 1599
2 2317 3144218
2 1522 2227796
2 2303 289758
3 2452383 2334
2 1141 2452980
2 2246 286857
2 1362 126253
2 129 491703
2 1078 488863
3 533311 464
2 1933 3023505
2 1135 3028789
3 2717031 544
3 4924241 1053
2 854 4924341
3 1825956 2297
2 560 1826825
2 937 2716748
3 3230652 1734
2 358 3231340
2 59 3230017
2 538 3232722
3 1833235 1275
2 1838 1832954
2 1878 2392283
2 172 2390625
2 131 4134412
2 104 4085992
2 1263742 -1
2 155 4132042
2 103 1484384
3 4132197 -1
2 1863 4750465
2 2129 4747949
2 663 4040871
2 1925 4043000
2 425 4358965
2 316 1766188
2 1454 4176650
2 1274 1762755
2 1577 4627771
2 1209 4630884
2 1707 3277871
3 3069691 2035
2 420 3070498
3 4123775 1868
2 384 4125021
2 983 3273969
2 1796 2664755
2 486 1032950
2 2132 3226314
2 811 3222812
2 510 4648983
2 1480 4738860
2 62 4645629
3 4395486 2281
2 3 4396625
2 283 4260798
2 79 4265404
2 1417 550621
3 4670939 2991
3 4927694 -1
3 1868183 2763
3 3898101 1379
3 2428064 2942
3 1469251 -1
2 2333 4671814
2 1865 1869315
3 412362 1622
2 2860 2428105
2 1638 412354
2 242 3898669
2 834 548772
3 1330467 1723
2 1486 1330209
2 1071 1936321
2 589 3097623
3 3876891 2140
2 1599 3877162
2 403 4756906
2 1556 4760144
2 1900 2437588
2 431 825572
3 4416878 1955
2 455 4417286
2 1635 829020
2 1871 641257
2 170 645357
2 2159 -1
3 3601033 1707
2 1453 3601006
2 2050 794637
2 2085 1122007
2 1882 1119634
2 298 2174493
3 1236560 1772
2 556 1237168
3 416915 2703
3 496798 1360
3 2522742 1150
2 2692 416716
2 2328 495900
2 755 2522518
3 3295142 2493
2 1837 3294978
2 929 2176629
2 1066 456927
3 4870351 2835
2 683 4871301
2 1888 458689
2 1538 2779580
3 3615834 1392
2 1435 3615624
3 4345143 1404
3 3177826 1883
2 1277 3178060
3 4154035 1646
3 1248983 747
2 873 4153985
2 1368 4344464
2 270 1249222
2 849 2782313
2 1934 2824981
2 1287 2830324
3 1206895 2497
2 1288 1207500
3 3719084 1496
2 2688 3718488
2 1501 4850008
2 1980 4853091
2 646 1039457
3 4952 1864
2 2957 4405
2 852 1035533
3 1599098 2460
2 1867 1599394
2 1551 4988955
2 3221307 -1
2 639 4987041
2 1197 545310
2 1673 4605289
2 287 1684549
2 717 1686816
2 1416 1681866
2 491 1679844
2 1065 2370312
2 1510 2374132
2 304 4500954
2 1145 4497205
2 1528 4622484
3 552389 2568
2 2845 552568
2 769 4619141
2 1917 310842
2 1282 3514039
2 1626 2253379
2 1052 2251489
3 2420462 2972
2 1978 2421400
2 1064 4335969
3 3483129 850
3 341827 2772
2 241 343093
3 935903 824
2 1563 3482772
3 4940995 1881
3 4482012 1035
3 3100529 2688
3 1997253 1895
3 2447045 2424
2 908 3101419
3 2898881 1932
3 4906488 1691
2 225 4907469
2 1827 4940974
2 556 2447775
2 2848 2898515
3 4384625 2304
2 2175 4384690
2 2463 1996512
2 1518 3099471
3 2192343 2502
2 668 2193260
2 930 3103051
2 199 4482222
3 733898 1959
3 2824981 1934
2 2140 733807
3 91221 898
2 1583 90878
3 3445785 2896
2 2226 3445864
2 1781 2194186
3 1042097 2545
3 914001 980
3 4659733 1940
3 3775548 1635
2 2816 3774958
2 333 4659794
2 1452 914315
3 2516463 1630
2 1836 2516360
2 1407 1042666
2 1425 2191399
2 1741 4907932
2 2979 -1
2 1434 4905644
2 1287 2825305
2 1466 2837442
3 273227 376
3 365338 2273
2 2485 365084
2 2850 271990
2 715 3779212
2 1600 3780940
2 176 4801876
2 160 4798843
3 468712 1839
2 2143 468560
2 281 2677774
2 1815 2679090
3 1004235 2043
2 3 1005255
2 1892 1147075
2 261 3477143
2 1251 2774994
2 1246 2777458
2 154 3737208
2 251 3739369
2 110 3543912
3 2052893 2353
2 2084 2052846
3 4220277 1322
2 152 4220862
2 1249 3541006
3 4754201 1849
2 2860 4753411
3 475399 2380
3 396785 -1
2 978 476025
2 1105 1718617
2 414 4174649
2 295 1477493
3 2858671 1556
2 2022 2858438
2 1821 1478905
3 1425941 2486
2 1107 1426376
2 359 4517513
2 673 4514150
3 1999356 2062
2 2215 1999193
2 1426 3884433
2 1777 3147480
2 339 3828235
2 1437 1653640
2 600 3825495
3 3497525 1941
3 1839793 208
2 456 3498267
2 2304 1839105
2 1357 4028348
3 992464 1499
3 3300936 276
2 577 992925
2 1062 1926843
3 826839 1948
3 3180618 1247
2 2733 826145
2 982 3180314
2 297 4897866
2 874 4901438
3 2135817 1885
3 2392283 1878
2 813 2136353
2 498 2392973
3 1168422 1004
2 340 1168754
3 2264437 693
2 1980 2263208
2 1588 4376102
3 4491545 1797
3 498487 2193
3 1147075 1892
2 2125 4491195
2 2277 498480
2 1050 1147496
2 1716 4378774
3 1832954 1838
3 483971 1756
2 2382 483658
2 90 1833828
3 2974912 2150
2 159 2975907
2 115 838269
2 888 835010
2 191 4032448
2 716 4333221
2 1236 4956721
2 1520 659433
3 3055736 2901
2 1824 3056543
2 1139 661674
2 712 3571418
2 1752 116130
2 578 2140612
2 21 2583885
3 265814 2689
2 1868 266310
2 169 4635181
2 1305 2512231
2 136 2510611
2 1589 21423
2 1441 19247
3 4094744 2784
3 3894994 2071
2 2005 3895195
2 1118 4095426
2 1123 2387703
2 554 1352568
2 1127 3993055
3 3751671 1620
2 372 3752295
2 312 655425
2 1732 657254
2 1736291 -1
2 1825 196250
2 1007 1321788
3 2213395 1585
2 664 2213855
2 13 193398
3 4760144 1556
2 954 4760445
2 111 1319513
2 1130 3576972
2 234 4476204
2 283 3575198
2 36 66887
2 1692 1983630
3 3537457 1690
3 1536944 1829
3 4372143 151
2 2056 3537274
2 2917 1536278
3 1635258 2955
2 1523 1636182
2 1815 4371839
3 3125225 366
2 791 3125281
2 915 1988711
2 1416 63951
2 171 1008856
2 439 2395482
2 933 4530336
2 1195 559275
2 82 562362
2 976 1876495
3 1279197 2837
2 344 1280443
2 1179 1878497
3 2364849 1540
2 2477 2363864
2 1870 4087638
2 1625 4090969
2 1669 1369807
2 1281 301107
2 793 297268
2 1645 2801171
2 41 2799752
3 3226314 2132
2 1420 3226670
2 1615 2440785
2 65 1281702
3 4635181 169
2 1515 4634508
2 510 1279240
2 1220 2507637
2 1232 3157663
2 515 3642741
2 1078 3155183
2 1246 4658226
2 1574 4660285
2 690 4298307
3 2159429 2872
3 3507792 2567
3 1054768 1247
3 2954634 75
2 2417 2160260
2 1460 2953941
2 776 1055003
2 1478 3508337
2 1867 4295261
2 353 1689193
2 931 1691287
2 928 4527770
2 737 4136325
3 2607674 2141
2 433 2608528
3 946157 2502
2 2440 945997
3 1189615 2212
2 1573 1189507
3 4589473 976
3 1122007 2085
2 1388 4589267
2 654 1122722
3 3534108 2020
2 2970 3533857
2 996 4524057
3 122837 2159
2 1311 123261
2 1771 718369
2 175 2609813
2 1701 2746378
2 305 2750813
2 179 2607499
2 1184 2064279
2 665 1601865
3 2460572 743
3 1582384 2882
3 1311285 -1
2 2146 1582851
2 2201 2460380
2 355 2062362
2 1026 1597944
3 2873500 762
2 1584 2873089
3 4556366 1883
2 143 4556556
2 595 4555312
3 3588510 1828
3 3432501 972
2 301 3589631
2 2768 3431704
2 741 3588260
2 687 3590588
2 317 4557486
2 1841 3423859
2 897 3426681
2 1444 3241216
3 677360 949
2 2250 676709
3 613576 2032
2 2541 613321
2 1770 3245914
2 197 239015
2 943 240906
3 3950052 1971
2 573 3950964
2 429 3952311
2 1013 3949469
3 4795070 2840
2 2083 4795312
3 4371839 1815
2 1954 4371770
2 63 3954725
3 2898515 2848
2 2152 2898863
2 397 2211046
2 1158 1242337
2 1613 1239978
2 1603 4789099
2 654 4787677
3 1104175 2425
2 1952 1103978
2 1326 1618187
3 416716 2692
3 4163091 2472
3 2277537 1427
3 552568 2845
3 1042666 1407
2 476 417824
3 4653241 1414
2 1650 553165
2 815 2277608
3 2579482 1588
2 2806 2578873
2 2176 4163432
2 1596 4653448
2 2046 1042346
2 2121 415583
3 603970 2246
3 4046822 2324
2 2172 4046905
2 1677 604625
2 1175 418892
3 749604 1193
3 3438455 2515
2 1677 749362
3 4319077 1385
3 3490900 2672
2 1871 3491300
3 2363864 2477
2 1538 4319120
3 32456 1879
3 3214203 2420
2 2021 32492
2 2471 3214178
2 3927086 -1
3 3291215 1176
3 4445604 1336
3 570643 2270
2 1399 3291103
2 2646 2363779
3 2309368 -1
2 987 4445779
2 12 3439707
3 278157 2885
2 26 279546
2 551 571503
2 2276 277154
3 3560629 2033
2 2116 3560587
2 1331 280160
3 415583 2121
3 4491195 2125
2 334 4492091
3 2979678 1923
2 76 2980602
3 3301568 2832
3 2489888 1968
3 3291103 1399
2 2683 2489531
2 406 3302961
2 1286 3291160
2 1009956 -1
3 3021789 -1
3 1357322 2345
3 4997604 707
2 2659 4996628
2 2040 1357475
2 1383 415952
2 1798 3300887
2 1812 3303635
2 1379 2978963
3 1650868 2497
3 4602738 1996
2 1090 1651477
2 1299 4603086
2 740 2981257
2 1392 2756708
2 12 2759633
3 2679090 1815
3 3685536 2108
2 2002 3685073
2 1380 2679308
2 810 4422612
2 503 4426932
2 1040 2597941
3 1224202 1316
2 2570 1223575
2 1640 4823571
2 1226 4821515
3 188592 -1
2 1416 2066511
2 1484 4804115
2 1746 1360491
3 908782 571
2 1796 908169
2 228 3420204
3 3658023 1274
3 2454941 2849
3 4014737 1943
2 2912 2454705
3 1990914 1829
2 2197 4014492
3 3578498 1332
2 1460 3578733
2 859 1991399
3 1207500 1288
3 3560587 2116
3 988521 1093
2 2736 987700
2 2306 3560492
3 1456496 2374
2 2407 1456426
3 4445779 987
3 305283 1065
2 1631 1207328
2 1642 4445451
2 890 305370
2 1585 3658198
2 398 3422513
2 182 4640723
2 757 721874
2 1650 724501
3 3241216 1444
2 1076 3241400
2 1027 1387135
2 1117 1390553
2 990 1072681
2 82 24410
2 767 26450
3 2083836 1754
3 945997 2440
2 2364 946035
2 2999 2083213
2 688 888781
2 785 890904
2 634 3411753
2 1699 4777386
2 1567 4773115
2 1767 2702208
2 1776 2700101
2 182 2863241
2 278 1442968
3 1330209 1486
3 4473217 1444
3 4527770 928
3 669422 2519
2 1226 670069
2 736 1330584
2 1707 4473086
2 143 4528163
3 1781490 -1
2 1397 935725
2 760 97835
2 744 397305
3 4191350 2464
2 2857 4191154
3 4740665 2945
2 2681 4741177
2 495 400137
3 1185119 670
2 493 1185696
3 1202050 2394
2 346 1203074
2 1660 1203490
2 224 1202062
2 1123 540038
2 1433 542354
3 3010441 1139
2 2897 3009562
2 865 3750971
3 4108414 1059
3 1886775 1307
3 4662017 2512
2 272 4108808
2 1052 4662840
2 2544 1886530
3 670069 1226
2 240 670562
3 3541006 1249
2 214 669408
2 920 671388
2 668 4107447
2 1152 4109531
3 4662840 1052
2 2296 4662218
2 1388 3540937
3 3968782 -1
2 232 3753442
2 1166 4251365
2 638 4247032
2 57 690192
3 1397511 1911
3 3334370 1257
3 2484772 637
2 95 3334990
3 987700 2736
2 1344 1397741
3 3752295 372
3 3472525 1630
2 1676 988230
2 262 2484763
2 1627 3472526
3 4977249 1559
3 175352 2262
2 405 176280
2 403 4978095
2 1893 3335264
3 2679308 1380
2 2070 3332829
2 1774 2679111
2 578 687753
2 1176 580071
2 11 1420674
2 359 4209127
2 1422 4211078
2 1286 577700
2 989 1065626
2 1581 1417887
2 822 4169488
3 2618026 -1
3 3960847 1918
2 1579 3961017
2 618 4172274
3 3400060 1451
2 1171 3400200
3 2548779 967
3 427506 1117
3 2593544 1672
2 326 2549211
3 2696908 1380
3 3973743 2671
2 2912 2696142
2 412 3974873
2 1835 427533
3 862395 1206
3 4189034 1926
2 2259 861868
2 665 4189460
2 1043 2593858
3 1097300 1195
2 2171 1096812
2 1466 2547576
2 1757 2549560
2 367 1471854
2 1557 1473483
2 1762 51026
2 1503 383388
2 506 2614322
3 3289042 867
3 1515302 2798
2 2591 1515405
2 2282 3288307
3 4595609 1527
2 379 4596246
3 3009562 2897
2 1981 3010020
2 1080 2616484
2 1765 49012
2 107 381685
2 1051 4490682
2 191 4493212
2 1526 1135432
2 7 3494048
3 3866509 668
3 2542203 1162
2 1838 3865924
2 1054 2542013
2 1642 3489598
2 1285 1903117
2 1021 2596034
2 111 4037156
2 1038 4033935
2 1591 1314859
2 637 1317213
2 753 1777734
2 1114 1779964
3 1563700 1326
3 3250804 897
3 4409755 2705
2 1955 1563386
2 2123 3250191
3 1459372 2530
2 2350 1459444
3 263167 2073
2 1957 263473
2 2325 4409945
3 302698 1713
3 3533857 2970
2 1682 3534501
3 448879 2082
2 504 449728
3 4726453 2239
2 1406 4726930
2 2331 302713
2 2059 450389
3 210727 1157
2 938 210837
2 1118 447983
2 1441 2474198
2 230 2472721
2 1527 4858450
2 223 4861545
3 2120678 2510
3 2305935 2141
3 4428108 2339
2 2123 2305944
2 2400 4427800
3 1264314 2055
3 2549560 1757
3 3015637 898
3 1597944 1026
2 1678 1264983
3 4981124 1223
3 583070 1838
2 2227 582876
3 1672435 2643
2 2360 1672016
2 2818 3014677
3 550621 1417
3 140486 212
2 1156 4981414
3 1906474 1642
2 928 1906831
3 4344464 1368
2 2571 4343863
2 1432 2121217
2 1005 551215
2 2656 139683
2 257 1598329
2 1041 2549918
2 190 3928246
2 946 3415773
2 970 917236
3 271990 2850
2 1121 272854
2 535 920353
2 1109 2938798
2 1404 3413534
3 3086546 506
2 430 3085979
2 1305 803760
2 364 806855
3 586969 2200
2 1469 587411
2 9 4913680
2 132 4915537
3 2926907 2325
2 521 2927809
2 1325 36599
3 1056868 2762
3 2234427 2404
2 1759 1057113
3 1904640 993
2 1953 2234321
2 2395 1904419
3 1582851 2146
2 2408 1582720
2 139 4910863
2 1550 4324448
3 4043000 1925
2 7 4043959
2 1324 3743621
2 1577 3747100
3 2535280 1952
2 445 2536034
3 4538437 1691
2 1899 4538333
2 610 2534836
2 938 2536903
2 176 3973922
2 1422 3975437
2 1475 3568977
2 1179 3196759
2 362 3567470
2 1444 4045323
2 1672 4049101
2 1575 3807139
2 459 3809830
2 491 1236065
3 3638105 1257
3 764519 1522
2 3086600 -1
2 1302 764805
3 972346 1125
2 1167 3638141
3 2108649 2255
3 4033935 1038
2 2557 2108354
2 1615 972101
3 512817 2436
2 629 513720
2 562 4034173
2 1096 1238033
2 1628 3941546
2 48 3944887
3 2187013 2666
2 600 2188046
3 3596008 1974
3 3482772 1563
3 4114793 2137
2 411 3596710
2 954 4115550
2 203 3483452
3 3904634 2554
3 3089346 1087
2 2558 3904496
2 157 3595583
2 749 3597795
2 791 3089951
2 1019 4306116
2 1173 1793213
3 4659794 333
3 2716748 937
2 1442 2716495
2 543 1795401
2 1493 3338162
3 4421132 961
2 244 4421520
2 136 4302872
2 326 1440068
2 1384 1437503
2 469 2448950
3 2624268 2853
2 51 2625669
2 1235 2626199
2 47 2624549
2 25 2446909
2 1479 4551186
2 1057 4140999
3 600328 142
2 948696 -1
2 2735 599031
2 1036 4138724
3 414913 551
3 2914885 2127
3 4899005 1880
2 1015 2915497
2 1552 4899024
2 75 414934
3 1662526 -1
3 172440 2540
2 2420 172782
2 1346 4000006
3 4552777 1887
3 1975285 1156
2 2697 1974514
2 65 4553956
3 2253379 1626
3 212654 2736
2 446 213736
3 412354 1638
2 2507 411930
3 623365 1780
3 1562379 -1
2 168 624194
3 3546198 2391
2 1254 3546766
3 942200 1187
2 1034 942116
2 2012 2253186
2 1114 212198
2 1835 214245
2 1020 622725
2 1490 624576
2 1327 4001901
2 1237 4339651
3 3886897 2555
2 985 3888479
2 268 1466842
2 414 1469889
3 1298124 2350
2 2693 1297723
2 1389 3031578
3 1960202 2667
2 2644 1960346
2 75 2242692
3 1915456 1556
2 2763 1914853
2 1450 2244213
2 410 4229394
2 1564 4226354
3 4319120 1538
3 1275915 2633
2 1549 4319114
2 704 1276931
2 1523 1695969
2 1488 1117643
2 1421 1693436
2 641 3516331
2 503 3518724
2 1237 4442456
2 746 4438358
2 1430 350235
3 4430566 2367
2 331 4431461
3 2462802 1173
2 902 2463570
3 1064400 833
2 551 1064400
2 1460 440304
2 262 438464
3 683878 2246
2 318 684842
3 4799936 1015
3 890028 366
2 1609 4799635
2 1165 685487
2 1224 683321
6001
1 5000000
2 2107 2498946
2 966 3750043
2 2255 1248345
2 2756 4374126
2 631 3125232
2 1112 1874217
2 1414 623465
2 1324 3437291
2 327217 2649534
2 1885 1561466
2 505 2186885
2 1372 935926
2 604 311430
2 461940 4457471
2 2259 4061438
2 1920 2030147
2 1863 2342236
2 2318 466590
2 1385 155022
2 1447 3280853
2 7 3594325
2 1294 779755
2 1334 1092154
2 2375 1404845
2 334 1718617
2 2803 3904822
2 1377 4218223
3 4457471 461940
2 1923 4687479
3 1718951 -1
2 2963 4843219
2 60 4532150
3 4376882 -1
2 702 3671836
2 1042 3515949
2 2717 4608486
3 624879 -1
2 1187 4453922
2 1485 1640241
3 2649534 327217
3 1561466 1885
2 309444 2658420
2 413 1523524
3 2658420 309444
2 1836 2812224
3 2814060 -1
3 2814060 -1
2 1430 2968931
3 1407220 -1
2 165 2656556
2 2695 2577457
2 2134 2733405
2 2733 1795217
2 920 233458
3 466590 2318
2 353 467573
3 3516991 -1
2 1770 388918
2 1629 544881
2 67 77477
2 438 3359576
2 2234 3202241
2 742 858116
2 962 701836
2 2718 2890136
2 2615 3046489
2 446 1170693
2 1692 1013880
2 1347 2420849
2 1661 2263982
3 4689402 -1
3 2265643 -1
3 3282300 -1
2 26 1952725
2 2372 2108290
2 925 4140497
2 606 4296560
2 507 1327469
3 3125863 -1
2 1855 4922163
2 1932 4765344
2 568 3827631
3 467926 -1
3 781049 -1
2 1617 3983723
2 179 1465282
2 1007 1581585
2 649 3710966
3 4767276 -1
2 2396 3631886
2 1048 115759
2 2499 37489
2 2151 1912951
2 158 1991370
3 2501053 -1
2 1942 3476311
2 457 3555429
3 467926 -1
2 2265 3397520
3 2344099 -1
3 1641726 -1
2 1546 3320165
3 1407220 -1
3 3046489 2615
3 3360014 -1
3 1171139 -1
2 91859 3001867
2 2401 1208541
2 2404 1130888
2 2351 896216
2 2346 818409
3 1130888 2404
2 52 1132064
2 1605 272101
2 361 194752
2 2801 4492229
2 2546 4414129
2 1047 4257556
2 333 4335479
2 450 663132
3 935926 1372
2 1066 955690
2 1968 740292
2 918 505944
2 535 584720
2 2020 1679161
2 705 428778
3 1013880 1692
2 1533 1023688
3 3437291 1324
2 29512 335720
2 2085 1287992
3 702798 -1
3 467926 -1
2 858 1365981
2 1495 4179075
2 697 4101748
3 233458 920
2 1845 232684
2 34 2382457
2 2201 2459470
2 1624 2773069
2 1398 2694364
2 2565 3865228
2 2952 3787844
3 1404845 2375
2 1662 1415229
3 3397520 2265
3 3125863 -1
3 3001867 91859
2 2341 3046626
2 1842 3417241
2 2778 2302550
2 833 2225269
2 2108 2538201
2 2222 2617243
3 467926 -1
3 2501053 -1
2 760 3163672
2 2349 3241489
3 2032067 -1
2 67958 4536369
2 659 4649011
3 4608486 2717
2 1934 1835116
2 2651 1755758
2 593 3008197
3 3555886 -1
2 2523 3085838
2 480 2069938
2 683 2148432
2 1187 3945080
2 562 4023108
2 2900 2929442
2 1388 2851404
3 2580152 -1
2 2947 4960535
3 2577457 2695
2 2147 2577702
3 4536369 67958
3 2226102 -1
2 2731 4589245
3 3282300 -1
2 2016 4883164
3 3125232 631
2 1742 4804376
2 2361 4726192
2 1226 3125403
3 1991528 -1
2 2142 1057616
3 4218223 1377
2 2910 4217608
2 2244 989100
2 2690 1493147
2 2283 1610275
2 1954 1551784
3 1493147 2690
2 2351 1493317
2 1891 3446751
2 1275 3387990
2 469 926894
2 2426 4559514
2 2173 4619407
2 1344 1440414
3 3828199 -1
2 490 1390789
2 564 1971778
2 2078 2009798
2 2462 1150173
3 390688 -1
2 1078 1112237
2 1195 3574508
3 4063697 -1
